transaction_id,customer_id,segment,date,amount,has_discount,discount_percent
TXN_CUST_00298_0000,CUST_00298,occasional,2022-01-03,571.69,True,9.3
TXN_CUST_00406_0000,CUST_00406,occasional,2022-01-06,393.58,True,18.5
TXN_CUST_00406_0001,CUST_00406,occasional,2022-01-07,441.12,False,0.0
TXN_CUST_00163_0000,CUST_00163,regular,2022-01-12,1544.86,False,0.0
TXN_CUST_00163_0001,CUST_00163,regular,2022-01-18,1648.88,False,0.0
TXN_CUST_00163_0002,CUST_00163,regular,2022-01-22,630.36,True,22.7
TXN_CUST_00039_0000,CUST_00039,regular,2022-01-24,1008.72,False,0.0
TXN_CUST_00163_0003,CUST_00163,regular,2022-01-25,958.76,True,27.0
TXN_CUST_00163_0004,CUST_00163,regular,2022-01-26,1674.51,False,0.0
TXN_CUST_00306_0000,CUST_00306,regular,2022-01-29,1521.66,False,0.0
TXN_CUST_00379_0000,CUST_00379,occasional,2022-01-29,359.35,False,0.0
TXN_CUST_00306_0001,CUST_00306,regular,2022-01-30,1453.3,False,0.0
TXN_CUST_00078_0000,CUST_00078,regular,2022-01-31,1028.44,False,0.0
TXN_CUST_00163_0005,CUST_00163,regular,2022-02-01,849.82,False,0.0
TXN_CUST_00078_0001,CUST_00078,regular,2022-02-01,1711.88,False,0.0
TXN_CUST_00251_0000,CUST_00251,regular,2022-02-03,1825.19,False,0.0
TXN_CUST_00306_0002,CUST_00306,regular,2022-02-06,1469.95,True,18.8
TXN_CUST_00184_0000,CUST_00184,occasional,2022-02-10,411.27,False,0.0
TXN_CUST_00078_0002,CUST_00078,regular,2022-02-12,1521.87,True,7.0
TXN_CUST_00285_0000,CUST_00285,premium,2022-02-12,4051.27,False,0.0
TXN_CUST_00078_0003,CUST_00078,regular,2022-02-13,1089.06,False,0.0
TXN_CUST_00285_0001,CUST_00285,premium,2022-02-13,6270.63,False,0.0
TXN_CUST_00401_0000,CUST_00401,regular,2022-02-13,2500.25,False,0.0
TXN_CUST_00184_0001,CUST_00184,occasional,2022-02-13,473.66,False,0.0
TXN_CUST_00298_0001,CUST_00298,occasional,2022-02-14,246.49,True,26.1
TXN_CUST_00401_0001,CUST_00401,regular,2022-02-14,1668.82,False,0.0
TXN_CUST_00039_0001,CUST_00039,regular,2022-02-16,2230.11,False,0.0
TXN_CUST_00039_0002,CUST_00039,regular,2022-02-17,2182.96,False,0.0
TXN_CUST_00401_0002,CUST_00401,regular,2022-02-17,1319.07,False,0.0
TXN_CUST_00298_0002,CUST_00298,occasional,2022-02-18,519.57,False,0.0
TXN_CUST_00306_0003,CUST_00306,regular,2022-02-18,620.08,False,0.0
TXN_CUST_00306_0004,CUST_00306,regular,2022-02-19,1416.8,True,17.2
TXN_CUST_00163_0006,CUST_00163,regular,2022-02-20,1697.44,False,0.0
TXN_CUST_00406_0002,CUST_00406,occasional,2022-02-21,284.1,False,0.0
TXN_CUST_00306_0005,CUST_00306,regular,2022-02-21,1501.98,False,0.0
TXN_CUST_00401_0003,CUST_00401,regular,2022-02-21,1868.73,True,6.2
TXN_CUST_00078_0004,CUST_00078,regular,2022-02-22,1848.22,False,0.0
TXN_CUST_00306_0006,CUST_00306,regular,2022-02-22,728.62,False,0.0
TXN_CUST_00409_0000,CUST_00409,regular,2022-02-22,1293.79,False,0.0
TXN_CUST_00306_0007,CUST_00306,regular,2022-02-23,1177.77,False,0.0
TXN_CUST_00285_0002,CUST_00285,premium,2022-02-24,4073.06,False,0.0
TXN_CUST_00194_0000,CUST_00194,occasional,2022-02-25,632.9,True,9.4
TXN_CUST_00039_0003,CUST_00039,regular,2022-02-26,1404.52,True,15.2
TXN_CUST_00285_0003,CUST_00285,premium,2022-02-26,3724.07,False,0.0
TXN_CUST_00285_0004,CUST_00285,premium,2022-02-27,5842.37,True,18.1
TXN_CUST_00285_0005,CUST_00285,premium,2022-02-28,5652.78,False,0.0
TXN_CUST_00306_0008,CUST_00306,regular,2022-02-28,917.86,False,0.0
TXN_CUST_00194_0001,CUST_00194,occasional,2022-02-28,370.83,False,0.0
TXN_CUST_00409_0001,CUST_00409,regular,2022-02-28,995.49,False,0.0
TXN_CUST_00004_0000,CUST_00004,regular,2022-03-03,1964.25,False,0.0
TXN_CUST_00163_0007,CUST_00163,regular,2022-03-03,1233.69,False,0.0
TXN_CUST_00163_0008,CUST_00163,regular,2022-03-04,1009.57,False,0.0
TXN_CUST_00418_0000,CUST_00418,regular,2022-03-05,1766.36,False,0.0
TXN_CUST_00163_0009,CUST_00163,regular,2022-03-08,1355.08,True,21.3
TXN_CUST_00078_0005,CUST_00078,regular,2022-03-08,1833.9,False,0.0
TXN_CUST_00184_0002,CUST_00184,occasional,2022-03-09,485.41,True,15.5
TXN_CUST_00418_0001,CUST_00418,regular,2022-03-10,1260.92,True,8.0
TXN_CUST_00285_0006,CUST_00285,premium,2022-03-10,4369.42,False,0.0
TXN_CUST_00163_0010,CUST_00163,regular,2022-03-10,1471.63,False,0.0
TXN_CUST_00367_0000,CUST_00367,occasional,2022-03-10,554.57,False,0.0
TXN_CUST_00285_0007,CUST_00285,premium,2022-03-11,5377.0,False,0.0
TXN_CUST_00039_0004,CUST_00039,regular,2022-03-11,1334.68,False,0.0
TXN_CUST_00306_0009,CUST_00306,regular,2022-03-11,1535.0,False,0.0
TXN_CUST_00163_0011,CUST_00163,regular,2022-03-12,1272.36,True,6.3
TXN_CUST_00409_0002,CUST_00409,regular,2022-03-12,1202.14,True,27.2
TXN_CUST_00285_0008,CUST_00285,premium,2022-03-13,3485.99,False,0.0
TXN_CUST_00285_0009,CUST_00285,premium,2022-03-14,3183.59,False,0.0
TXN_CUST_00117_0000,CUST_00117,occasional,2022-03-15,516.86,False,0.0
TXN_CUST_00401_0004,CUST_00401,regular,2022-03-16,1140.15,False,0.0
TXN_CUST_00295_0000,CUST_00295,occasional,2022-03-17,678.32,False,0.0
TXN_CUST_00285_0010,CUST_00285,premium,2022-03-19,5498.18,False,0.0
TXN_CUST_00078_0006,CUST_00078,regular,2022-03-20,861.43,False,0.0
TXN_CUST_00285_0011,CUST_00285,premium,2022-03-20,2797.56,False,0.0
TXN_CUST_00418_0002,CUST_00418,regular,2022-03-21,1293.08,False,0.0
TXN_CUST_00366_0000,CUST_00366,premium,2022-03-22,4138.06,True,9.5
TXN_CUST_00039_0005,CUST_00039,regular,2022-03-23,1874.98,False,0.0
TXN_CUST_00120_0000,CUST_00120,occasional,2022-03-23,246.13,True,14.0
TXN_CUST_00184_0003,CUST_00184,occasional,2022-03-24,404.42,False,0.0
TXN_CUST_00203_0000,CUST_00203,occasional,2022-03-24,463.62,False,0.0
TXN_CUST_00184_0004,CUST_00184,occasional,2022-03-25,416.49,True,23.7
TXN_CUST_00409_0003,CUST_00409,regular,2022-03-25,892.24,False,0.0
TXN_CUST_00285_0012,CUST_00285,premium,2022-03-25,3933.47,True,25.5
TXN_CUST_00078_0007,CUST_00078,regular,2022-03-25,1781.06,False,0.0
TXN_CUST_00194_0002,CUST_00194,occasional,2022-03-26,301.69,False,0.0
TXN_CUST_00184_0005,CUST_00184,occasional,2022-03-26,751.0,False,0.0
TXN_CUST_00217_0000,CUST_00217,occasional,2022-03-26,359.81,False,0.0
TXN_CUST_00184_0006,CUST_00184,occasional,2022-03-27,445.59,True,27.7
TXN_CUST_00418_0003,CUST_00418,regular,2022-03-27,1541.01,True,13.1
TXN_CUST_00004_0001,CUST_00004,regular,2022-03-27,2374.75,False,0.0
TXN_CUST_00285_0013,CUST_00285,premium,2022-03-28,2518.07,False,0.0
TXN_CUST_00163_0012,CUST_00163,regular,2022-03-28,1643.66,False,0.0
TXN_CUST_00004_0002,CUST_00004,regular,2022-03-29,1128.02,False,0.0
TXN_CUST_00306_0010,CUST_00306,regular,2022-03-29,1971.63,False,0.0
TXN_CUST_00251_0001,CUST_00251,regular,2022-03-29,1229.74,False,0.0
TXN_CUST_00416_0000,CUST_00416,regular,2022-03-30,805.36,False,0.0
TXN_CUST_00401_0005,CUST_00401,regular,2022-03-30,1949.66,False,0.0
TXN_CUST_00416_0001,CUST_00416,regular,2022-03-31,1506.83,False,0.0
